age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,prob_subscription,score,global_rank,priority_level,daily_rank
29,management,single,tertiary,no,697,no,no,cellular,30,apr,365,1,85,1,success,yes,0.979,9.814,26,HIGH,26
23,student,single,secondary,no,431,no,no,cellular,15,feb,201,3,186,2,success,yes,0.979,9.814,27,HIGH,27
30,admin.,single,secondary,no,270,no,no,cellular,30,apr,437,1,80,1,success,yes,0.979,9.813,28,HIGH,28
33,management,married,tertiary,no,158,no,no,cellular,30,apr,169,2,83,2,success,no,0.979,9.811,29,HIGH,29
30,student,single,secondary,no,48,no,no,cellular,25,feb,217,1,191,2,success,yes,0.978,9.801,30,HIGH,30
62,retired,married,tertiary,no,2557,yes,no,cellular,14,sep,211,1,216,7,success,yes,0.978,9.801,31,HIGH,31
29,student,single,secondary,no,67,no,no,cellular,23,feb,211,1,187,5,success,yes,0.978,9.801,32,HIGH,32
66,retired,married,secondary,no,2326,no,yes,cellular,18,feb,232,1,181,1,success,yes,0.978,9.806,33,HIGH,33
30,management,single,tertiary,no,5359,no,no,cellular,26,feb,427,1,191,3,success,yes,0.978,9.8,34,HIGH,34
30,technician,single,tertiary,no,53,no,no,cellular,30,oct,155,1,184,1,success,no,0.978,9.805,35,HIGH,35
59,technician,married,primary,no,4198,no,no,cellular,14,jan,309,1,91,10,success,yes,0.978,9.805,36,HIGH,36
30,unemployed,single,secondary,no,2424,no,no,cellular,15,feb,337,1,95,2,success,yes,0.978,9.799,37,HIGH,37
27,admin.,married,tertiary,no,73,no,no,cellular,30,apr,374,1,79,1,success,no,0.978,9.805,38,HIGH,38
37,technician,single,tertiary,no,197,no,no,cellular,15,feb,531,1,91,2,success,yes,0.977,9.793,39,HIGH,39
65,retired,married,secondary,no,571,yes,no,cellular,20,oct,349,1,183,2,success,yes,0.977,9.795,40,HIGH,40
71,retired,divorced,primary,no,275,no,no,cellular,14,jun,293,1,425,1,success,yes,0.977,9.79,41,HIGH,41
27,management,single,tertiary,no,2786,no,no,cellular,15,jun,270,2,377,3,success,no,0.977,9.797,42,HIGH,42
22,student,single,secondary,no,948,no,no,telephone,25,feb,169,1,191,3,success,yes,0.977,9.796,43,HIGH,43
27,blue-collar,single,secondary,no,535,no,no,cellular,15,feb,171,1,91,2,success,yes,0.977,9.789,44,HIGH,44
47,management,married,tertiary,no,288,no,no,cellular,31,mar,193,1,181,1,success,yes,0.977,9.789,45,HIGH,45
54,technician,married,tertiary,no,876,no,no,cellular,27,oct,269,3,541,3,success,yes,0.977,9.79,46,HIGH,46
76,retired,married,tertiary,no,2991,no,no,cellular,22,oct,344,1,183,1,success,yes,0.977,9.797,47,HIGH,47
68,retired,single,tertiary,no,2144,no,no,cellular,22,oct,277,1,184,2,success,yes,0.977,9.794,48,HIGH,48
52,technician,married,secondary,no,117,no,no,cellular,26,feb,959,3,186,6,success,yes,0.977,9.797,49,HIGH,49
77,retired,married,secondary,no,4112,no,no,telephone,29,jul,426,1,184,3,success,yes,0.977,9.793,50,HIGH,50
24,student,single,unknown,no,358,no,no,cellular,14,sep,407,2,92,2,success,no,0.976,9.782,51,HIGH,51
38,management,single,tertiary,no,455,yes,no,cellular,19,feb,255,2,555,6,success,yes,0.976,9.786,52,HIGH,52
76,retired,married,primary,no,3324,no,no,cellular,11,feb,309,1,90,4,success,yes,0.976,9.783,53,HIGH,53
42,management,single,tertiary,no,11008,no,no,cellular,28,jul,822,6,405,1,success,yes,0.976,9.783,54,HIGH,54
77,retired,married,primary,no,2590,no,no,telephone,15,feb,112,5,94,15,success,no,0.976,9.781,55,HIGH,55
41,unemployed,married,tertiary,no,0,no,no,cellular,29,apr,882,1,181,3,success,yes,0.976,9.78,56,HIGH,56
26,student,single,tertiary,no,294,no,no,cellular,5,mar,87,1,91,2,success,yes,0.975,9.779,57,HIGH,57
36,unemployed,single,tertiary,no,1291,no,no,cellular,30,apr,195,1,86,1,success,yes,0.975,9.777,58,HIGH,58
31,management,married,tertiary,no,1331,no,no,cellular,30,apr,297,1,86,3,success,yes,0.975,9.775,59,HIGH,59
37,management,married,tertiary,no,630,no,no,cellular,30,apr,315,1,87,1,success,yes,0.975,9.773,60,HIGH,60
30,management,single,tertiary,no,398,no,no,cellular,30,apr,554,1,6,2,success,yes,0.975,9.779,61,HIGH,61
47,admin.,married,secondary,no,368,no,no,cellular,23,feb,269,1,187,5,success,yes,0.975,9.774,62,HIGH,62
31,management,single,tertiary,no,354,no,no,cellular,30,apr,502,1,9,2,success,yes,0.975,9.775,63,HIGH,63
30,student,single,secondary,no,1779,no,no,cellular,11,aug,233,1,433,1,success,yes,0.975,9.773,64,HIGH,64
32,management,married,tertiary,no,1270,no,no,cellular,3,sep,420,1,15,3,success,no,0.975,9.773,65,HIGH,65
60,admin.,married,secondary,no,3735,no,no,cellular,22,sep,183,1,184,11,success,yes,0.975,9.772,66,HIGH,66
19,student,single,unknown,no,108,no,no,cellular,9,mar,273,2,182,1,success,yes,0.975,9.772,67,HIGH,67
42,technician,married,tertiary,no,757,no,no,cellular,30,apr,354,1,79,1,success,yes,0.975,9.776,68,HIGH,68
27,student,single,tertiary,no,5291,no,no,cellular,11,feb,293,1,91,4,success,yes,0.975,9.771,69,HIGH,69
50,management,married,tertiary,no,1612,no,no,cellular,15,sep,188,1,92,4,success,no,0.975,9.774,70,HIGH,70
33,blue-collar,single,tertiary,no,700,no,no,cellular,30,apr,169,1,80,2,success,yes,0.975,9.779,71,HIGH,71
78,retired,divorced,secondary,no,3219,no,no,cellular,24,feb,151,1,-1,0,unknown,yes,0.975,9.778,72,HIGH,72
34,management,single,tertiary,no,1228,no,no,cellular,30,apr,580,2,84,8,success,yes,0.975,9.778,73,HIGH,73
61,management,married,tertiary,no,6016,no,no,cellular,4,nov,199,1,275,3,success,no,0.974,9.764,74,HIGH,74
37,management,married,tertiary,no,57,no,no,cellular,30,apr,96,2,84,1,success,no,0.974,9.765,75,HIGH,75
60,admin.,married,secondary,no,3735,no,no,cellular,22,dec,190,1,188,9,success,yes,0.974,9.768,76,HIGH,76
61,self-employed,married,tertiary,no,10861,no,no,cellular,25,oct,225,1,91,5,success,yes,0.974,9.765,77,HIGH,77
38,management,married,tertiary,no,613,no,no,cellular,30,apr,242,1,86,1,success,yes,0.974,9.77,78,HIGH,78
36,admin.,married,secondary,no,96,no,no,cellular,30,apr,208,1,87,1,success,yes,0.974,9.769,79,HIGH,79
53,management,married,tertiary,no,1624,no,no,cellular,30,apr,284,3,84,3,success,yes,0.974,9.763,80,HIGH,80
57,management,married,tertiary,no,10583,no,no,cellular,28,sep,341,3,98,3,success,yes,0.974,9.768,81,HIGH,81
31,management,single,tertiary,no,533,no,no,cellular,11,feb,144,1,91,9,success,yes,0.974,9.765,82,HIGH,82
73,retired,married,primary,no,1388,no,no,telephone,11,jan,767,2,83,1,success,yes,0.974,9.767,83,HIGH,83
54,technician,married,tertiary,no,395,no,no,cellular,30,apr,183,1,183,2,success,yes,0.974,9.764,84,HIGH,84
36,management,married,tertiary,no,495,no,no,cellular,11,sep,91,1,37,5,success,yes,0.974,9.763,85,HIGH,85
46,admin.,married,tertiary,no,2552,no,no,cellular,3,sep,260,1,94,8,success,yes,0.974,9.763,86,HIGH,86
56,management,married,unknown,no,4623,no,no,cellular,25,feb,305,1,192,1,success,yes,0.974,9.764,87,HIGH,87
31,management,single,tertiary,no,3340,no,no,cellular,15,sep,213,2,469,3,success,yes,0.974,9.768,88,HIGH,88
47,unemployed,married,secondary,no,926,no,no,cellular,14,aug,436,1,403,5,success,yes,0.974,9.767,89,HIGH,89
29,management,single,tertiary,no,1026,no,no,cellular,12,feb,138,2,92,2,success,yes,0.974,9.769,90,HIGH,90
31,technician,single,tertiary,no,882,no,no,cellular,4,sep,293,1,93,1,success,yes,0.973,9.756,91,HIGH,91
46,technician,married,unknown,no,3308,no,no,cellular,27,oct,171,1,91,2,success,yes,0.973,9.756,92,HIGH,92
31,management,married,tertiary,no,877,no,no,cellular,9,sep,209,1,92,8,success,yes,0.973,9.76,93,HIGH,93
56,management,married,tertiary,no,616,no,no,cellular,30,apr,225,1,83,1,success,yes,0.973,9.759,94,HIGH,94
29,self-employed,single,tertiary,no,3290,no,no,cellular,23,mar,136,1,291,2,success,yes,0.973,9.755,95,HIGH,95
57,admin.,married,secondary,no,169,no,no,cellular,30,apr,319,1,86,1,success,no,0.973,9.76,96,HIGH,96
73,retired,married,primary,no,796,no,no,cellular,23,apr,888,1,182,3,success,yes,0.973,9.756,97,HIGH,97
71,technician,married,tertiary,no,383,no,no,cellular,27,oct,327,2,183,3,success,no,0.973,9.753,98,HIGH,98
23,services,single,secondary,no,870,no,no,cellular,29,dec,296,1,176,4,success,yes,0.973,9.756,99,HIGH,99
66,retired,married,primary,no,1004,no,no,cellular,28,apr,154,1,182,1,success,no,0.973,9.756,100,HIGH,100
62,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,oct,216,1,183,4,success,yes,0.973,9.755,101,HIGH,101
62,management,married,tertiary,no,997,no,no,cellular,22,apr,554,1,304,2,success,yes,0.973,9.758,102,HIGH,102
62,retired,married,tertiary,no,2557,yes,no,cellular,10,nov,404,1,57,8,success,yes,0.972,9.746,103,HIGH,103
31,management,single,tertiary,no,147,no,no,cellular,9,mar,469,1,181,2,success,yes,0.972,9.747,104,HIGH,104
78,management,married,unknown,no,1780,yes,no,cellular,25,oct,211,2,185,7,success,yes,0.972,9.747,105,HIGH,105
22,services,single,secondary,no,129,no,no,cellular,15,apr,218,2,181,1,success,yes,0.972,9.749,106,HIGH,106
44,technician,single,unknown,no,11115,no,no,cellular,25,oct,189,1,185,4,success,no,0.972,9.744,107,HIGH,107
73,retired,married,tertiary,no,459,no,no,cellular,17,feb,281,1,-1,0,unknown,yes,0.972,9.75,108,HIGH,108
61,retired,married,secondary,no,523,no,no,cellular,13,aug,211,3,183,4,success,yes,0.972,9.75,109,HIGH,109
25,student,single,secondary,no,2354,no,no,cellular,30,apr,149,1,84,7,success,no,0.972,9.752,110,HIGH,110
73,retired,married,tertiary,no,448,no,no,cellular,22,jun,68,1,90,1,success,no,0.972,9.746,111,HIGH,111
23,self-employed,single,tertiary,no,780,no,no,cellular,16,sep,393,1,183,3,success,yes,0.972,9.751,112,HIGH,112
30,management,single,tertiary,no,398,no,no,cellular,27,oct,102,1,180,3,success,yes,0.972,9.746,113,HIGH,113
64,management,married,tertiary,no,3951,no,no,cellular,28,jan,134,1,91,1,success,yes,0.972,9.751,114,HIGH,114
47,admin.,married,unknown,no,66,no,no,cellular,26,feb,297,1,203,1,success,no,0.971,9.738,115,HIGH,115
69,retired,single,tertiary,no,2144,no,no,cellular,29,jul,417,1,184,4,success,yes,0.971,9.735,116,HIGH,116
34,management,married,tertiary,no,158,no,no,cellular,9,mar,212,3,181,6,success,yes,0.971,9.742,117,HIGH,117
76,self-employed,married,unknown,no,4984,no,no,telephone,28,apr,403,1,182,1,success,yes,0.971,9.743,118,HIGH,118
60,retired,divorced,secondary,no,1,no,no,cellular,19,feb,302,1,184,1,success,yes,0.971,9.737,119,HIGH,119
35,admin.,divorced,secondary,no,1085,no,no,cellular,5,jun,199,1,86,7,success,yes,0.971,9.742,120,HIGH,120
36,management,married,tertiary,no,925,no,no,cellular,14,dec,321,3,189,4,success,yes,0.971,9.738,121,HIGH,121
35,management,single,tertiary,no,1120,no,no,unknown,21,sep,4,1,771,2,success,no,0.971,9.739,122,HIGH,122
42,management,married,tertiary,no,1205,no,no,telephone,15,mar,129,1,188,2,success,no,0.971,9.743,123,HIGH,123
49,management,married,tertiary,no,5887,no,no,cellular,4,dec,439,3,185,5,success,yes,0.971,9.738,124,HIGH,124
77,retired,married,secondary,no,638,no,no,cellular,11,feb,288,1,188,1,success,yes,0.971,9.742,125,HIGH,125
47,management,married,tertiary,no,3663,no,no,cellular,29,oct,424,2,213,3,success,yes,0.971,9.736,126,HIGH,126
41,unemployed,single,tertiary,no,79,no,no,telephone,9,nov,394,1,390,2,success,yes,0.97,9.731,127,HIGH,127
62,retired,married,secondary,no,2801,yes,yes,cellular,9,sep,261,1,183,1,success,yes,0.97,9.733,128,HIGH,128
45,blue-collar,single,secondary,no,0,no,no,cellular,5,aug,374,2,472,1,success,yes,0.97,9.727,129,HIGH,129
65,entrepreneur,married,tertiary,no,2331,no,no,telephone,11,aug,425,1,183,2,success,yes,0.97,9.733,130,HIGH,130
31,management,single,tertiary,no,147,no,no,cellular,13,sep,81,3,96,5,success,no,0.97,9.728,131,HIGH,131
29,technician,single,secondary,no,674,no,no,cellular,30,apr,483,1,13,5,success,yes,0.97,9.733,132,HIGH,132
26,management,single,tertiary,no,222,no,no,cellular,26,oct,318,1,120,3,success,yes,0.97,9.733,133,HIGH,133
51,management,married,tertiary,no,2635,no,no,cellular,8,mar,209,2,188,3,success,no,0.97,9.732,134,HIGH,134
51,management,married,tertiary,no,346,no,no,cellular,12,feb,122,1,92,5,success,yes,0.97,9.728,135,HIGH,135
22,student,single,primary,no,423,no,no,cellular,16,jul,316,1,179,10,success,yes,0.97,9.728,136,HIGH,136
27,management,single,tertiary,no,390,no,no,cellular,28,oct,190,1,82,1,success,no,0.97,9.729,137,HIGH,137
40,management,single,tertiary,no,3840,yes,no,cellular,24,sep,232,2,409,2,success,yes,0.97,9.728,138,HIGH,138
37,management,married,tertiary,no,203,no,no,cellular,21,oct,759,1,90,5,success,yes,0.97,9.729,139,HIGH,139
27,self-employed,single,tertiary,no,168,no,no,cellular,12,nov,123,1,196,1,success,yes,0.97,9.726,140,HIGH,140
38,technician,married,secondary,no,5115,yes,no,cellular,27,feb,99,1,102,6,success,yes,0.97,9.726,141,HIGH,141
74,retired,married,tertiary,no,1843,no,no,cellular,15,mar,192,1,185,2,success,yes,0.97,9.733,142,HIGH,142
48,blue-collar,married,secondary,no,292,no,no,cellular,30,apr,271,1,79,1,success,yes,0.97,9.731,143,HIGH,143
46,management,divorced,tertiary,no,461,no,no,cellular,10,mar,127,1,70,2,success,no,0.97,9.733,144,HIGH,144
36,technician,married,secondary,no,2779,no,no,cellular,25,oct,324,1,182,4,success,no,0.969,9.717,145,HIGH,145
31,admin.,single,secondary,no,410,no,no,cellular,25,oct,182,1,185,1,success,yes,0.969,9.724,146,HIGH,146
74,retired,married,secondary,no,935,no,no,cellular,25,oct,400,1,173,3,success,yes,0.969,9.72,147,HIGH,147
61,management,married,tertiary,no,13546,no,no,cellular,25,jan,318,2,283,3,success,no,0.969,9.722,148,HIGH,148
36,management,married,tertiary,no,495,no,no,cellular,12,mar,213,3,182,6,success,yes,0.969,9.72,149,HIGH,149
59,self-employed,married,tertiary,no,2013,no,no,cellular,19,feb,222,4,94,2,success,yes,0.969,9.718,150,HIGH,150
70,retired,married,secondary,no,0,no,no,cellular,27,oct,258,1,92,5,success,yes,0.969,9.721,151,HIGH,151
57,management,married,tertiary,no,10583,no,no,cellular,25,mar,272,1,178,6,success,yes,0.969,9.718,152,HIGH,152
60,admin.,married,secondary,no,3735,no,no,cellular,22,mar,248,1,90,10,success,yes,0.969,9.719,153,HIGH,153
36,management,married,tertiary,no,495,no,no,cellular,14,jun,187,1,94,9,success,yes,0.969,9.722,154,HIGH,154
70,retired,married,primary,no,2346,no,no,cellular,24,aug,190,3,194,2,success,no,0.969,9.721,155,HIGH,155
67,management,married,tertiary,no,405,no,no,cellular,10,nov,344,2,95,2,success,yes,0.969,9.725,156,HIGH,156
54,management,divorced,tertiary,no,5475,no,no,cellular,21,oct,1032,1,91,4,success,yes,0.969,9.721,157,HIGH,157
48,management,married,tertiary,no,1147,no,no,cellular,3,dec,155,1,120,3,success,yes,0.969,9.719,158,HIGH,158
44,management,single,tertiary,no,483,no,no,cellular,6,mar,207,2,199,6,success,yes,0.969,9.721,159,HIGH,159
63,retired,divorced,tertiary,no,0,no,no,cellular,13,may,263,1,181,2,success,yes,0.969,9.724,160,HIGH,160
21,student,single,secondary,no,2488,no,no,telephone,12,jan,661,2,92,1,success,yes,0.969,9.724,161,HIGH,161
70,retired,divorced,primary,no,482,no,no,telephone,14,jan,372,1,196,2,success,yes,0.969,9.724,162,HIGH,162
43,management,married,tertiary,no,3518,no,no,cellular,28,dec,206,2,196,2,success,yes,0.969,9.72,163,HIGH,163
31,management,single,tertiary,no,924,no,no,cellular,7,sep,231,1,94,3,success,yes,0.969,9.717,164,HIGH,164
50,admin.,married,tertiary,no,6574,no,no,cellular,8,sep,495,1,92,3,success,yes,0.969,9.725,165,HIGH,165
77,management,married,unknown,no,1780,yes,no,cellular,23,oct,221,2,183,3,success,yes,0.969,9.717,166,HIGH,166
76,retired,divorced,primary,no,2693,no,no,cellular,23,apr,109,5,184,2,success,no,0.969,9.724,167,HIGH,167
30,management,single,tertiary,no,5561,yes,no,cellular,27,feb,195,1,100,1,success,yes,0.969,9.723,168,HIGH,168
64,retired,divorced,primary,no,109,no,no,cellular,23,jun,706,1,225,2,success,yes,0.968,9.714,169,HIGH,169
39,management,married,tertiary,no,494,no,no,cellular,9,sep,216,1,183,5,success,yes,0.968,9.708,170,HIGH,170
37,management,married,tertiary,no,1113,no,no,cellular,2,mar,229,1,182,1,success,yes,0.968,9.712,171,HIGH,171
68,retired,divorced,primary,no,2027,no,no,cellular,15,jun,619,2,92,2,success,yes,0.968,9.71,172,HIGH,172
44,management,divorced,tertiary,no,2367,no,no,cellular,22,sep,263,1,184,6,success,yes,0.968,9.715,173,HIGH,173
30,management,single,tertiary,no,536,no,no,cellular,14,jan,362,2,91,2,success,yes,0.968,9.714,174,HIGH,174
64,retired,divorced,primary,no,315,no,no,cellular,17,feb,154,1,-1,0,unknown,yes,0.968,9.709,175,HIGH,175
35,blue-collar,married,secondary,no,262,no,no,cellular,15,mar,427,1,181,3,success,yes,0.968,9.711,176,HIGH,176
61,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,oct,210,1,182,2,success,yes,0.968,9.71,177,HIGH,177
48,management,married,tertiary,no,2351,no,no,cellular,15,sep,150,1,105,3,success,yes,0.968,9.709,178,HIGH,178
26,management,single,tertiary,no,362,no,no,cellular,15,sep,925,1,104,2,success,yes,0.968,9.715,179,HIGH,179
18,student,single,primary,no,608,no,no,cellular,13,nov,210,1,93,1,success,yes,0.968,9.713,180,HIGH,180
26,technician,single,tertiary,no,3411,no,no,cellular,18,feb,236,1,183,2,success,no,0.968,9.71,181,HIGH,181
61,self-employed,divorced,tertiary,no,52587,no,no,cellular,15,feb,394,3,189,1,success,yes,0.968,9.715,182,HIGH,182
72,retired,married,primary,no,4657,no,no,cellular,22,dec,305,3,309,5,success,yes,0.968,9.715,183,HIGH,183
43,services,married,tertiary,no,4216,no,no,cellular,24,dec,150,2,195,2,success,yes,0.968,9.715,184,HIGH,184
33,admin.,single,tertiary,no,146,no,no,cellular,22,oct,380,1,91,3,success,yes,0.968,9.71,185,HIGH,185
27,blue-collar,single,secondary,no,3792,no,no,cellular,22,oct,504,1,183,2,success,yes,0.967,9.706,186,HIGH,186
57,housemaid,married,tertiary,no,2326,no,no,cellular,28,oct,207,1,194,1,success,yes,0.967,9.701,187,HIGH,187
36,management,single,tertiary,no,2646,no,no,cellular,13,oct,169,1,182,10,success,yes,0.967,9.701,188,HIGH,188
68,retired,married,secondary,no,445,no,no,cellular,18,feb,475,1,-1,0,unknown,yes,0.967,9.704,189,HIGH,189
52,unemployed,married,secondary,no,94,no,no,cellular,10,feb,153,1,92,13,success,yes,0.967,9.704,190,HIGH,190
25,management,single,tertiary,no,219,no,no,cellular,4,aug,576,1,96,1,success,yes,0.967,9.706,191,HIGH,191
62,retired,married,secondary,no,569,no,no,cellular,3,aug,187,2,180,6,success,yes,0.967,9.701,192,HIGH,192
48,unemployed,married,secondary,no,926,no,no,cellular,15,feb,382,4,185,6,success,yes,0.967,9.707,193,HIGH,193
36,technician,married,tertiary,no,1354,no,no,cellular,7,sep,281,3,97,2,success,yes,0.967,9.7,194,HIGH,194
23,services,single,secondary,no,488,no,no,cellular,29,jun,205,1,91,3,success,yes,0.967,9.701,195,HIGH,195
31,management,married,tertiary,no,4328,no,no,cellular,12,oct,203,4,165,14,success,yes,0.967,9.703,196,HIGH,196
23,student,single,tertiary,no,691,no,no,cellular,27,may,1178,1,178,6,success,yes,0.967,9.701,197,HIGH,197
43,management,single,tertiary,no,11891,no,no,cellular,4,dec,821,5,242,1,success,yes,0.967,9.703,198,HIGH,198
79,retired,married,secondary,no,8304,no,no,cellular,9,dec,456,2,275,9,success,yes,0.967,9.702,199,HIGH,199
35,unemployed,single,tertiary,no,415,no,no,cellular,4,aug,462,1,92,4,success,yes,0.967,9.705,200,HIGH,200
